Parameter Settings
pop_size,200
generations,2000
crossover_rate,0.9
mutation_rate,0.02
elitism_count,1
use_two_opt,True
gen_two_opt,500
two_opt_strategy,normal
init_strategy,mixed
selection_strategy,tournament
crossover_strategy,mixed
early_stop,500

Run,Best_Distance,Best_Path
1,10028.732374675283,"[38, 36, 44, 56, 59, 32, 25, 23, 20, 17, 27, 28, 21, 26, 33, 39, 37, 34, 30, 31, 29, 18, 14, 11, 9, 8, 4, 6, 2, 1, 3, 0, 5, 7, 12, 10, 13, 16, 24, 22, 15, 61, 58, 35, 62, 19, 64, 84, 85, 97, 110, 103, 100, 98, 93, 89, 88, 81, 113, 125, 124, 126, 129, 131, 133, 136, 139, 141, 137, 138, 143, 149, 152, 156, 153, 145, 148, 144, 155, 160, 162, 163, 168, 175, 181, 193, 189, 186, 182, 185, 178, 171, 173, 172, 174, 176, 180, 183, 188, 191, 190, 187, 192, 177, 179, 184, 170, 165, 159, 161, 166, 169, 167, 164, 158, 157, 151, 140, 146, 150, 154, 147, 142, 135, 130, 128, 134, 132, 127, 123, 122, 119, 120, 116, 115, 114, 111, 109, 117, 121, 118, 112, 108, 101, 102, 86, 79, 70, 75, 74, 71, 68, 73, 77, 90, 87, 92, 95, 94, 91, 96, 105, 104, 106, 107, 99, 83, 82, 80, 78, 76, 69, 63, 67, 72, 66, 65, 60, 57, 55, 52, 51, 47, 53, 54, 48, 49, 41, 43, 45, 40, 42, 46, 50]"

Summary
Best_Distance,10028.732374675283
Worst_Distance,10028.732374675283
Average_Distance,10028.732374675283
Best_Path,"[38, 36, 44, 56, 59, 32, 25, 23, 20, 17, 27, 28, 21, 26, 33, 39, 37, 34, 30, 31, 29, 18, 14, 11, 9, 8, 4, 6, 2, 1, 3, 0, 5, 7, 12, 10, 13, 16, 24, 22, 15, 61, 58, 35, 62, 19, 64, 84, 85, 97, 110, 103, 100, 98, 93, 89, 88, 81, 113, 125, 124, 126, 129, 131, 133, 136, 139, 141, 137, 138, 143, 149, 152, 156, 153, 145, 148, 144, 155, 160, 162, 163, 168, 175, 181, 193, 189, 186, 182, 185, 178, 171, 173, 172, 174, 176, 180, 183, 188, 191, 190, 187, 192, 177, 179, 184, 170, 165, 159, 161, 166, 169, 167, 164, 158, 157, 151, 140, 146, 150, 154, 147, 142, 135, 130, 128, 134, 132, 127, 123, 122, 119, 120, 116, 115, 114, 111, 109, 117, 121, 118, 112, 108, 101, 102, 86, 79, 70, 75, 74, 71, 68, 73, 77, 90, 87, 92, 95, 94, 91, 96, 105, 104, 106, 107, 99, 83, 82, 80, 78, 76, 69, 63, 67, 72, 66, 65, 60, 57, 55, 52, 51, 47, 53, 54, 48, 49, 41, 43, 45, 40, 42, 46, 50]"
